node,time_s,breaths_per_min,band_power_ratio
1,20.483,13.701,0.0
1,20.529,13.701,0.0
1,20.738,13.701,0.0
1,20.878,13.701,0.0
1,20.947,13.701,0.0
1,20.96,13.701,0.0
1,20.981,13.701,0.0
1,21.011,13.701,0.0
1,21.063,13.701,0.0
1,21.153,13.701,0.0
1,21.204,13.701,0.0
1,21.255,13.701,0.0
1,21.287,9.134,0.625
1,21.35,9.134,0.625
1,21.402,9.134,0.625
1,21.446,9.134,0.625
1,21.535,9.134,0.625
1,21.536,9.134,0.625
1,21.594,9.134,0.625
1,21.614,9.134,0.625
1,21.762,9.134,0.625
1,21.868,9.134,0.625
1,21.924,9.134,0.625
1,21.977,9.134,0.625
1,22.103,9.134,0.625
1,22.127,9.134,0.625
1,22.18,9.134,0.625
1,22.216,9.134,0.625
1,22.269,9.134,0.625
1,22.31,9.134,0.625
1,22.376,9.134,0.625
1,22.438,9.134,1.0
1,22.546,9.134,1.0
1,22.557,9.134,1.0
1,22.743,9.134,1.0
1,22.791,9.134,1.0
1,22.843,9.134,1.0
1,22.893,9.134,1.0
1,22.946,9.134,1.0
1,22.997,9.134,1.0
1,23.047,9.134,1.0
1,23.149,9.134,1.0
1,23.201,9.134,1.0
1,23.23,9.134,1.0
1,23.252,9.134,1.0
1,23.306,9.134,1.0
1,23.356,9.134,1.0
1,23.405,9.134,1.0
1,23.449,9.134,1.0
1,23.551,9.134,1.0
1,23.559,9.134,0.75
1,23.61,9.134,0.75
1,23.711,9.134,0.75
1,23.744,9.134,0.75
1,23.855,9.134,0.75
1,23.961,9.134,0.75
1,24.066,9.134,0.75
1,24.17,9.134,0.75
1,24.258,9.134,0.75
1,24.391,9.134,0.75
1,24.444,9.134,0.75
1,24.486,9.134,0.75
1,24.524,9.134,0.75
1,24.582,9.134,0.75
1,24.611,9.134,0.75
1,24.687,9.134,0.75
1,24.737,9.134,0.75
1,24.788,9.134,0.75
1,24.84,9.134,0.75
1,24.89,9.134,0.625
1,24.942,9.134,0.625
1,24.992,9.134,0.625
1,25.046,9.134,0.625
1,25.095,9.134,0.625
1,25.146,9.134,0.625
1,25.197,9.134,0.625
1,25.251,9.134,0.625
1,25.302,9.134,0.625
1,25.404,9.134,0.625
1,25.454,9.134,0.625
1,25.486,9.134,0.625
1,25.548,9.134,0.625
1,25.6,9.134,0.625
1,25.654,9.134,0.625
1,25.69,9.134,0.625
1,25.806,9.134,0.625
1,25.858,9.134,0.625
1,25.896,9.134,0.625
1,25.954,13.701,0.0
1,25.997,13.701,0.0
1,26.097,13.701,0.0
1,26.21,13.701,0.0
1,26.313,13.701,0.0
1,26.53,13.701,0.0
1,26.579,13.701,0.0
1,26.612,13.701,0.0
1,26.671,13.701,0.0
1,26.734,13.701,0.0
1,26.785,13.701,0.0
1,26.838,13.701,0.0
1,26.889,13.701,0.0
1,26.939,13.701,0.0
1,26.989,13.701,0.0
1,27.041,13.701,0.0
1,27.092,13.701,0.0
1,27.144,13.701,0.0
1,27.254,13.701,0.0
1,27.391,9.134,0.75
1,27.444,9.134,0.75
1,27.495,9.134,0.75
1,27.546,9.134,0.75
1,27.594,9.134,0.75
1,27.657,9.134,0.75
1,27.706,9.134,0.75
1,27.806,9.134,0.75
1,27.861,9.134,0.75
1,27.911,9.134,0.75
1,27.965,9.134,0.75
1,28.014,9.134,0.75
1,28.118,9.134,0.75
1,28.148,9.134,0.75
1,28.208,9.134,0.75
1,28.257,9.134,0.75
1,28.314,9.134,0.75
1,28.379,9.134,0.75
1,28.431,9.134,0.75
1,28.485,9.134,0.75
1,28.525,9.134,0.75
1,28.582,9.134,0.75
1,28.642,9.134,0.75
1,28.678,9.134,0.75
1,28.874,9.134,0.75
1,28.979,9.134,0.75
1,29.035,9.134,0.75
1,29.069,9.134,0.75
1,29.179,9.134,0.75
1,29.275,9.134,0.75
1,29.384,9.134,0.75
1,29.397,9.134,0.75
1,29.447,9.134,0.75
1,29.48,9.134,0.75
1,29.542,9.134,0.75
1,29.609,9.134,0.75
1,29.652,9.134,0.75
1,29.704,9.134,0.75
1,29.795,15.984,0.75
1,29.846,15.984,0.75
1,29.899,15.984,0.75
1,29.952,15.984,0.75
1,30.004,15.984,0.75
1,30.056,15.984,0.75
1,30.101,15.984,0.75
1,30.163,15.984,0.75
1,30.216,15.984,0.75
1,30.268,15.984,0.75
1,30.317,15.984,0.75
1,30.369,15.984,0.75
1,30.421,15.984,0.75
1,30.472,15.984,0.75
1,30.524,15.984,0.75
1,30.568,15.984,0.75
1,30.62,15.984,0.75
1,30.67,15.984,0.75
1,30.728,15.984,0.75
1,30.819,18.268,0.625
1,30.92,18.268,0.625
1,30.933,18.268,0.625
1,30.961,18.268,0.625
1,31.025,18.268,0.625
1,31.035,18.268,0.625
1,31.079,18.268,0.625
1,31.12,18.268,0.625
1,31.187,18.268,0.625
1,31.237,18.268,0.625
1,31.333,18.268,0.625
1,31.391,18.268,0.625
1,31.437,18.268,0.625
1,31.445,18.268,0.625
1,31.541,18.268,0.625
1,31.594,18.268,0.625
1,31.701,18.268,0.625
1,31.746,18.268,0.625
1,31.854,18.268,0.625
1,31.904,18.268,0.75
1,31.958,18.268,0.75
1,32.009,18.268,0.75
1,32.06,18.268,0.75
1,32.11,18.268,0.75
1,32.161,18.268,0.75
1,32.212,18.268,0.75
1,32.263,18.268,0.75
1,32.316,18.268,0.75
1,32.367,18.268,0.75
1,32.465,18.268,0.75
1,32.517,18.268,0.75
1,32.57,18.268,0.75
1,32.622,18.268,0.75
1,32.674,18.268,0.75
1,32.724,18.268,0.75
