node,time_s,breaths_per_min,band_power_ratio
1,19.793,18.172,0.375
1,19.842,18.172,0.375
1,19.895,18.172,0.375
1,19.996,18.172,0.375
1,20.046,18.172,0.375
1,20.133,18.172,0.375
1,20.187,18.172,0.375
1,20.239,18.172,0.375
1,20.319,18.172,0.375
1,20.354,18.172,0.375
1,20.406,18.172,0.375
1,20.456,18.172,0.375
1,20.512,18.172,0.375
1,20.559,9.086,0.625
1,20.61,9.086,0.625
1,20.662,9.086,0.625
1,20.713,9.086,0.625
1,20.763,9.086,0.625
1,20.816,9.086,0.625
1,20.866,9.086,0.625
1,20.918,9.086,0.625
1,20.968,9.086,0.625
1,21.02,9.086,0.625
1,21.122,9.086,0.625
1,21.173,9.086,0.625
1,21.268,9.086,0.625
1,21.345,9.086,0.625
1,21.378,9.086,0.625
1,21.429,9.086,0.625
1,21.48,9.086,0.625
1,21.532,9.086,0.625
1,21.583,9.086,0.625
1,21.635,18.172,0.375
1,21.685,18.172,0.375
1,21.768,18.172,0.375
1,21.883,18.172,0.375
1,22.114,18.172,0.375
1,22.184,18.172,0.375
1,22.215,18.172,0.375
1,22.243,18.172,0.375
1,22.297,18.172,0.375
1,22.318,18.172,0.375
1,22.369,18.172,0.375
1,22.401,18.172,0.375
1,22.504,18.172,0.375
1,22.557,18.172,0.375
1,22.606,18.172,0.375
1,22.66,18.172,0.375
1,22.709,18.172,0.375
1,22.761,18.172,0.375
1,22.885,18.172,0.375
1,22.913,18.172,0.5
1,23.016,18.172,0.5
1,23.069,18.172,0.5
1,23.12,18.172,0.5
1,23.187,18.172,0.5
1,23.222,18.172,0.5
1,23.321,18.172,0.5
1,23.372,18.172,0.5
1,23.444,18.172,0.5
1,23.494,18.172,0.5
1,23.529,18.172,0.5
1,23.582,18.172,0.5
1,23.632,18.172,0.5
1,23.685,18.172,0.5
1,23.733,18.172,0.5
1,23.785,18.172,0.5
1,23.837,18.172,0.5
1,23.889,18.172,0.5
1,23.944,18.172,0.5
1,23.99,22.715,0.0
1,24.04,22.715,0.0
1,24.092,22.715,0.0
1,24.143,22.715,0.0
1,24.211,22.715,0.0
1,24.245,22.715,0.0
1,24.33,22.715,0.0
1,24.364,22.715,0.0
1,24.414,22.715,0.0
1,24.45,22.715,0.0
1,24.502,22.715,0.0
1,24.552,22.715,0.0
1,24.604,22.715,0.0
1,24.66,22.715,0.0
1,24.757,22.715,0.0
1,24.81,22.715,0.0
1,24.86,22.715,0.0
1,24.912,22.715,0.0
1,24.961,22.715,0.0
1,25.014,22.715,0.0
1,25.064,22.715,0.0
1,25.117,22.715,0.0
1,25.166,22.715,0.0
1,25.239,22.715,0.0
1,25.269,22.715,0.0
1,25.303,22.715,0.0
1,25.354,22.715,0.0
1,25.418,22.715,0.0
1,25.47,22.715,0.0
1,25.491,22.715,0.0
1,25.522,22.715,0.0
1,25.626,22.715,0.0
1,25.679,22.715,0.0
1,25.73,22.715,0.0
1,25.782,22.715,0.0
1,25.833,22.715,0.0
1,25.884,22.715,0.0
1,25.937,22.715,0.0
1,25.987,13.629,0.0
1,26.038,13.629,0.0
1,26.092,13.629,0.0
1,26.145,13.629,0.0
1,26.191,13.629,0.0
1,26.242,13.629,0.0
1,26.311,13.629,0.0
1,26.361,13.629,0.0
1,26.396,13.629,0.0
1,26.448,13.629,0.0
1,26.498,13.629,0.0
1,26.551,13.629,0.0
1,26.6,13.629,0.0
1,26.652,13.629,0.0
1,26.703,13.629,0.0
1,26.754,13.629,0.0
1,26.806,13.629,0.0
1,26.857,13.629,0.0
1,26.907,13.629,0.0
1,27.011,18.172,0.375
1,27.063,18.172,0.375
1,27.197,18.172,0.375
1,27.251,18.172,0.375
1,27.363,18.172,0.375
1,27.395,18.172,0.375
1,27.419,18.172,0.375
1,27.458,18.172,0.375
1,27.501,18.172,0.375
1,27.523,18.172,0.375
1,27.574,18.172,0.375
1,27.624,18.172,0.375
1,27.677,18.172,0.375
1,27.726,18.172,0.375
1,27.779,18.172,0.375
1,27.829,18.172,0.375
1,27.949,18.172,0.375
1,28.0,18.172,0.375
1,28.034,18.172,0.375
1,28.086,24.987,0.625
1,28.136,24.987,0.625
1,28.19,24.987,0.625
1,28.238,24.987,0.625
1,28.338,24.987,0.625
1,28.445,24.987,0.625
1,28.495,24.987,0.625
1,28.547,24.987,0.625
1,28.598,24.987,0.625
1,28.648,24.987,0.625
1,28.721,24.987,0.625
1,28.756,24.987,0.625
1,28.807,24.987,0.625
1,28.853,24.987,0.625
1,28.902,24.987,0.625
1,28.954,24.987,0.625
1,29.057,24.987,0.625
1,29.263,24.987,0.625
1,29.299,24.987,0.625
1,29.468,24.987,0.625
1,29.521,24.987,0.625
1,29.569,24.987,0.625
1,29.623,24.987,0.625
1,29.672,24.987,0.625
1,29.725,24.987,0.625
1,29.775,24.987,0.625
1,29.826,24.987,0.625
1,29.877,24.987,0.625
1,30.038,24.987,0.625
1,30.081,24.987,0.625
1,30.118,24.987,0.625
1,30.184,24.987,0.625
1,30.274,24.987,0.625
1,30.323,24.987,0.625
1,30.375,24.987,0.625
1,30.427,24.987,0.625
1,30.478,24.987,0.625
1,30.582,24.987,0.625
1,30.611,20.444,0.25
1,30.691,20.444,0.25
1,30.748,20.444,0.25
1,30.798,20.444,0.25
1,30.867,20.444,0.25
1,30.892,20.444,0.25
1,30.924,20.444,0.25
1,30.941,20.444,0.25
1,30.971,20.444,0.25
1,30.998,20.444,0.25
1,31.02,20.444,0.25
1,31.066,20.444,0.25
1,31.094,20.444,0.25
1,31.125,20.444,0.25
1,31.153,20.444,0.25
1,31.27,20.444,0.25
1,31.311,20.444,0.25
1,31.363,20.444,0.25
1,31.412,20.444,0.25
1,31.45,24.987,0.625
1,31.501,24.987,0.625
1,31.533,24.987,0.625
1,31.568,24.987,0.625
1,31.62,24.987,0.625
1,31.672,24.987,0.625
1,31.722,24.987,0.625
1,31.799,24.987,0.625
1,31.823,24.987,0.625
1,31.846,24.987,0.625
1,31.895,24.987,0.625
1,31.925,24.987,0.625
1,31.977,24.987,0.625
1,32.005,24.987,0.625
1,32.027,24.987,0.625
1,32.067,24.987,0.625
1,32.095,24.987,0.625
1,32.124,24.987,0.625
1,32.149,24.987,0.625
1,32.168,24.987,0.625
1,32.219,24.987,0.625
1,32.249,24.987,0.625
1,32.281,24.987,0.625
1,32.438,24.987,0.625
1,32.489,24.987,0.625
1,32.54,24.987,0.625
1,32.591,24.987,0.625
1,32.642,24.987,0.625
1,32.693,24.987,0.625
1,32.744,24.987,0.625
1,32.796,24.987,0.625
1,32.846,24.987,0.625
1,32.899,24.987,0.625
1,32.949,24.987,0.625
1,32.993,24.987,0.625
1,33.029,24.987,0.625
1,33.054,24.987,0.625
1,33.121,24.987,0.625
1,33.154,15.901,0.625
1,33.174,15.901,0.625
1,33.227,15.901,0.625
1,33.256,15.901,0.625
1,33.279,15.901,0.625
1,33.306,15.901,0.625
1,33.334,15.901,0.625
1,33.363,15.901,0.625
1,33.404,15.901,0.625
1,33.453,15.901,0.625
1,33.479,15.901,0.625
1,33.497,15.901,0.625
1,33.552,15.901,0.625
1,33.58,15.901,0.625
1,33.632,15.901,0.625
1,33.665,15.901,0.625
1,33.718,15.901,0.625
1,33.768,15.901,0.625
1,33.822,15.901,0.625
1,33.871,15.901,0.375
1,33.923,15.901,0.375
1,33.973,15.901,0.375
1,34.075,15.901,0.375
1,34.127,15.901,0.375
1,34.178,15.901,0.375
1,34.229,15.901,0.375
1,34.28,15.901,0.375
1,34.332,15.901,0.375
1,34.383,15.901,0.375
1,34.434,15.901,0.375
1,34.485,15.901,0.375
1,34.509,15.901,0.375
1,34.559,15.901,0.375
1,34.588,15.901,0.375
1,34.655,15.901,0.375
1,34.684,15.901,0.375
1,34.707,15.901,0.375
1,34.735,15.901,0.375
1,34.787,13.629,0.625
1,34.811,13.629,0.625
1,34.862,13.629,0.625
1,34.895,13.629,0.625
1,34.947,13.629,0.625
1,35.098,13.629,0.625
1,35.203,13.629,0.625
1,35.255,13.629,0.625
1,35.304,13.629,0.625
1,35.339,13.629,0.625
1,35.39,13.629,0.625
1,35.425,13.629,0.625
1,35.463,13.629,0.625
1,35.532,13.629,0.625
1,35.555,13.629,0.625
1,35.576,13.629,0.625
1,35.607,13.629,0.625
1,35.632,13.629,0.625
1,35.688,13.629,0.625
1,35.714,13.629,0.5
1,35.736,13.629,0.5
1,35.786,13.629,0.5
1,35.816,13.629,0.5
1,35.869,13.629,0.5
1,35.919,13.629,0.5
1,35.971,13.629,0.5
1,36.039,13.629,0.5
1,36.089,13.629,0.5
1,36.124,13.629,0.5
1,36.177,13.629,0.5
1,36.226,13.629,0.5
1,36.295,13.629,0.5
1,36.368,13.629,0.5
1,36.423,13.629,0.5
1,36.527,13.629,0.5
1,36.55,13.629,0.5
1,36.602,13.629,0.5
1,36.635,13.629,0.5
1,36.738,18.172,0.0
1,36.789,18.172,0.0
1,36.841,18.172,0.0
1,36.892,18.172,0.0
1,36.943,18.172,0.0
1,36.965,18.172,0.0
1,37.015,18.172,0.0
