metric,node,value,unit
frames,1,52574,count
subcarriers,1,64,count
duration,1,3079.1,s
sample_rate,1,19.384,Hz
selected_subcarrier,1,12,index
baseline_mean_std,1,0.39827,-
baseline_sigma,1,0.05816,-
z_max,1,13.505,sigma
z_mean,1,4.055,sigma
breathing_n,1,52207,count
breathing_mean,1,14.33,br/min
breathing_median,1,13.63,br/min
breathing_std,1,4.35,br/min
breathing_min,1,9.09,br/min
breathing_max,1,27.26,br/min
in_normal_range_pct,1,56.3,%
frames,2,54911,count
subcarriers,2,64,count
duration,2,3078.95,s
sample_rate,2,19.478,Hz
selected_subcarrier,2,62,index
baseline_mean_std,2,0.58308,-
baseline_sigma,2,0.02927,-
z_max,2,17.892,sigma
z_mean,2,2.198,sigma
breathing_n,2,54543,count
breathing_mean,2,14.51,br/min
breathing_median,2,13.7,br/min
breathing_std,2,4.24,br/min
breathing_min,2,9.13,br/min
breathing_max,2,27.39,br/min
in_normal_range_pct,2,58.1,%
agreement_corr,-,0.3023,-
agreement_mae,-,3.5977,-
agreement_bias,-,-0.1922,-
agreement_loa,-,9.9555,-
agreement_points,-,3059,-
agreement_controls,-,"[{'pairing': 'aligned (true pairing)', 'corr': 0.30228703392873235, 'mae': 3.5976634672959205, 'median_diff': 0.06649053154023932}, {'pairing': 'shifted +245s', 'corr': -0.0035993648142591686, 'mae': 4.774439147889403, 'median_diff': 0.06649053154023932}, {'pairing': 'shifted +520s', 'corr': 0.030233043304511095, 'mae': 4.5205891948427235, 'median_diff': 0.06649053154023932}, {'pairing': 'shifted +1010s', 'corr': 0.014460220724330135, 'mae': 4.563279465537548, 'median_diff': 0.06649053154023932}, {'pairing': 'shifted +1530s', 'corr': 0.14441326297917534, 'mae': 4.1905815876671255, 'median_diff': 0.06649053154023932}, {'pairing': 'fully shuffled', 'corr': -0.012776781036373426, 'mae': 4.826201312672557, 'median_diff': 0.06649053154023932}]",-
